节点ID,节点名称,节点类型,是否核心类型,所有标签,所属社区,度数,加权度数,入度,出度,加权入度,加权出度,聚类系数,邻居节点数,邻居社区分布
LE588998,决定终结调查,Event,否,Event,4,8,1.85,1,7,0.8,1.05,0.0,8,社区4:8
LE785476,资本市场整体运行情况,Event,否,Event,4,8,1.85,1,7,0.8,1.05,0.0,8,社区4:8
LE543034,新闻发言人,PartyWithResponsibility,是,PartyWithResponsibility,4,2,1.9,2,0,1.9,0.0,0.0,2,社区4:2
LE672599,证券期货交易所,PartyWithResponsibility,是,PartyWithResponsibility,7,3,2.85,3,0,2.85,0.0,0.0,3,社区7:3
LE317045,证监会工作人员,PartyWithResponsibility,是,PartyWithResponsibility,4,2,1.75,1,1,0.95,0.8,0.0,2,社区4:2
LE030329,第五条,Section,否,Section,4,4,3.05,1,3,0.2,2.85,0.0,4,社区4:4
LE602406,第四章,Chapter,否,Chapter,4,9,1.8,1,8,0.2,1.6,0.0,9,社区4:7; 社区11:1; 社区13:1
LE964487,澄清说明,Action,否,Action,7,1,0.15,1,0,0.15,0.0,0.0,1,社区7:1
LE800817,各协会,PartyWithResponsibility,是,PartyWithResponsibility,7,3,2.85,3,0,2.85,0.0,0.0,3,社区7:3
LE814806,违反新闻工作纪律,Violation,否,Violation,11,4,1.9,2,2,1.6,0.3,0.0,4,社区11:4
LE005916,资本市场改革发展,Event,否,Event,4,11,5.55,6,5,4.8,0.75,0.0,11,社区4:11
LE088379,媒体,PartyWithResponsibility,是,PartyWithResponsibility,4,2,1.75,1,1,0.95,0.8,0.0,2,社区4:2
LE595948,通报事件进展情况,Action,否,Action,7,1,0.15,1,0,0.15,0.0,0.0,1,社区7:1
LE608570,严肃处理,Punishment,否,Punishment,11,2,0.3,2,0,0.3,0.0,0.0,2,社区11:2
LE421517,第二十六条,Section,否,Section,4,2,1.15,1,1,0.2,0.95,0.0,2,社区4:2
LE802335,证监会系统新闻工作队伍,PartyWithResponsibility,是,PartyWithResponsibility,13,1,0.95,1,0,0.95,0.0,0.0,1,社区13:1
LE654107,第二十三条,Section,否,Section,7,3,2.1,1,2,0.2,1.9,0.0,3,社区7:3
LE159772,重大改革事项,Event,否,Event,4,8,1.85,1,7,0.8,1.05,0.0,8,社区4:8
LE307286,社会舆论已经或可能广泛关注的热点事件,Event,否,Event,4,8,1.85,1,7,0.8,1.05,0.0,8,社区4:8
LE917107,第六条,Section,否,Section,4,4,3.05,1,3,0.2,2.85,0.0,4,社区4:4
LE113218,第二条,Section,否,Section,4,2,0.35,1,1,0.2,0.15,0.0,2,社区4:1; 社区5:1
LE126245,第三十二条,Section,否,Section,4,1,0.2,1,0,0.2,0.0,0.0,1,社区4:1
LE364680,第七条,Section,否,Section,4,2,1.15,1,1,0.2,0.95,0.0,2,社区4:2
LE835273,第一章,Chapter,否,Chapter,4,7,1.4,1,6,0.2,1.2,0.0,7,社区4:7
LE872658,向社会公布,Action,否,Action,4,8,1.2,8,0,1.2,0.0,0.0,8,社区4:8
LE707240,中国证监会,PartyWithResponsibility,是,PartyWithResponsibility,4,1,0.95,1,0,0.95,0.0,0.0,1,社区4:1
LE161153,第四条,Section,否,Section,4,2,1.15,1,1,0.2,0.95,0.0,2,社区4:2
LE350768,第二十二条,Section,否,Section,7,2,1.15,1,1,0.2,0.95,0.0,2,社区7:2
LE043619,第十一条,Section,否,Section,4,2,1.15,1,1,0.2,0.95,0.0,2,社区4:2
LE341084,会员单位,PartyWithResponsibility,是,PartyWithResponsibility,7,1,0.95,1,0,0.95,0.0,0.0,1,社区7:1
LE543823,各派出机构,PartyWithResponsibility,是,PartyWithResponsibility,4,4,3.8,4,0,3.8,0.0,0.0,4,社区4:4
LE363987,第三十条,Section,否,Section,4,6,4.95,1,5,0.2,4.75,0.0,6,社区0:1; 社区4:5
LE954794,业务运行情况等新闻信息,Action,否,Action,7,1,0.15,1,0,0.15,0.0,0.0,1,社区7:1
LE059899,第十九条,Section,否,Section,7,3,2.1,1,2,0.2,1.9,0.0,3,社区7:3
LE197139,公开说明,Action,否,Action,4,8,1.2,8,0,1.2,0.0,0.0,8,社区4:8
LE937841,第八条,Section,否,Section,4,1,0.2,1,0,0.2,0.0,0.0,1,社区4:1
LE018302,第九条,Section,否,Section,4,1,0.2,1,0,0.2,0.0,0.0,1,社区4:1
LE202683,第二十一条,Section,否,Section,7,2,1.15,1,1,0.2,0.95,0.0,2,社区7:2
